name_a,name_b,token_sort_score,partial_ratio_score,recommended_canonical,match_reason,raw_variants_a,raw_variants_b
ministry of foreign affairs japan,ministry of foreign affairs romania,79.4,91.8,ministry of foreign affairs japan,partial_ratio,Ministry of Foreign Affairs - Japan,Ministry of Foreign Affairs - Romania
ministry of foreign affairs latvia,ministry of foreign affairs norway,79.4,90.6,ministry of foreign affairs norway,partial_ratio,Ministry of Foreign Affairs - Latvia,Ministry of Foreign Affairs - Norway
ministry of foreign affairs latvia,ministry of foreign affairs poland,79.4,93.8,ministry of foreign affairs poland,partial_ratio,Ministry of Foreign Affairs - Latvia,Ministry of Foreign Affairs - Poland
united nations mission in nepal,united nations mission in south sudan,79.4,91.2,united nations mission in south sudan,partial_ratio,United Nations Mission in Nepal,United Nations Mission in South Sudan
united nations development programme south sudan,united nations development programme south sudan common humanitarian fund,79.3,100.0,united nations development programme south sudan,partial_ratio,United Nations Development Programme South Sudan,United Nations Development Programme South Sudan Common Humanitarian Fund
adventist development and relief agency czech republic,adventist development and relief agency danmark,79.2,92.0,adventist development and relief agency danmark,partial_ratio,Adventist Development and Relief Agency Czech Republic,Adventist Development and Relief Agency Danmark
african development bank,african development fund,79.2,90.9,african development bank,partial_ratio,African Development Bank,African Development Fund
american university,american university of beirut,79.2,100.0,american university of beirut,partial_ratio,American University,American University of Beirut
ministry of education,ministry of education and sports,79.2,100.0,ministry of education,partial_ratio,Ministry of Education,Ministry of Education and Sports
ministry of health and sports,ministry of health spain,79.2,93.3,ministry of health spain,partial_ratio,Ministry of Health and Sports,Ministry of Health - Spain
university college cork,university college dublin,79.2,90.5,university college cork,partial_ratio,University College Cork,University College Dublin
directorate general for development cooperation and humanitarian aid belgium,directorate general for development cooperation italy,79.1,96.1,directorate general for development cooperation and humanitarian aid belgium,partial_ratio,Directorate-General for Development Cooperation and Humanitarian Aid - Belgium,Directorate-General for Development Cooperation - Italy
embassy of canada,embassy of canada to chile,79.1,100.0,embassy of canada,partial_ratio,Embassy of Canada,Embassy of Canada to Chile
government of chad,government of cyprus,78.9,90.9,government of chad,partial_ratio,Government of Chad,Government of Cyprus
hamad bin khalifa university,hamad bin khalifa university college of law,78.9,100.0,hamad bin khalifa university,partial_ratio,Hamad Bin Khalifa University,Hamad Bin Khalifa University College of Law
high commission of canada to cameroon,high commission of canada to kenya,78.9,92.3,high commission of canada to kenya,partial_ratio,High Commission of Canada to Cameroon,High Commission of Canada to Kenya
ministry for foreign affairs finland,ministry for foreign affairs sweden,78.9,90.6,ministry for foreign affairs finland,partial_ratio,Ministry for Foreign Affairs - Finland,Ministry for Foreign Affairs - Sweden
ministry for foreign affairs iceland,ministry for foreign affairs sweden,78.9,90.6,ministry for foreign affairs sweden,partial_ratio,Ministry for Foreign Affairs - Iceland,Ministry for Foreign Affairs - Sweden
ministry of foreign affairs and international cooperation italy,ministry of foreign affairs and international trade,78.9,94.8,ministry of foreign affairs and international cooperation italy,partial_ratio,Ministry of Foreign Affairs and International Cooperation - Italy,Ministry of Foreign Affairs and International Trade
ministry of foreign affairs czech republic,ministry of foreign affairs poland,78.9,90.3,ministry of foreign affairs czech republic,partial_ratio,Ministry of Foreign Affairs - Czech Republic,Ministry of Foreign Affairs - Poland
ministry of foreign affairs greece,ministry of foreign affairs lithuania,78.9,90.3,ministry of foreign affairs greece,partial_ratio,Ministry of Foreign Affairs - Greece,Ministry of Foreign Affairs - Lithuania
united nations children s fund,united nations children s fund spain committee,78.9,100.0,united nations children s fund,partial_ratio,United Nations Children's Fund,United Nations Children's Fund - Spain Committee
university of oslo,university of ottawa,78.9,90.9,university of ottawa,partial_ratio,University of Oslo,University of Ottawa
university of oslo,university of sussex,78.9,90.9,university of oslo,partial_ratio,University of Oslo,University of Sussex
university of pecs,university of sussex,78.9,90.9,university of sussex,partial_ratio,University of Pécs,University of Sussex
adventist development and relief agency canada,adventist development and relief agency international,78.8,93.2,adventist development and relief agency international,partial_ratio,Adventist Development and Relief Agency Canada,Adventist Development and Relief Agency International
african care ry,african care women,78.8,92.9,african care women,partial_ratio,African Care ry,African Care Women
oxfam intermon,oxfam international,78.8,92.3,oxfam international,partial_ratio,Oxfam Intermón|Oxfam Intermón,Oxfam International
caritas bouar,caritas burundi,78.6,91.7,caritas burundi,partial_ratio,Caritas Bouar,Caritas Burundi
inter american development bank grant facility,inter american development bank invest,78.6,91.4,inter american development bank grant facility,partial_ratio,Inter-American Development Bank Grant Facility,Inter-American Development Bank Invest
plan international mali,plan international nederland,78.4,90.5,plan international mali,partial_ratio,Plan International Mali,Plan International Nederland
institute of international education,institute of international education scholar rescue fund,78.3,100.0,institute of international education scholar rescue fund,partial_ratio,Institute of International Education,Institute of International Education Scholar Rescue Fund
ministry of energy,ministry of energy and water,78.3,100.0,ministry of energy and water,partial_ratio,Ministry of Energy,Ministry of Energy and Water
ministry of foreign affairs,ministry of foreign affairs czech republic,78.3,100.0,ministry of foreign affairs czech republic,partial_ratio,Ministry of Foreign Affairs,Ministry of Foreign Affairs - Czech Republic
ministry of foreign affairs belgium,ministry of foreign affairs greece,78.3,90.6,ministry of foreign affairs greece,partial_ratio,Ministry of Foreign Affairs - Belgium,Ministry of Foreign Affairs - Greece
ministry of foreign affairs belgium,ministry of foreign affairs latvia,78.3,90.3,ministry of foreign affairs belgium,partial_ratio,Ministry of Foreign Affairs - Belgium,Ministry of Foreign Affairs - Latvia
ministry of foreign affairs belgium,ministry of foreign affairs norway,78.3,90.3,ministry of foreign affairs norway,partial_ratio,Ministry of Foreign Affairs - Belgium,Ministry of Foreign Affairs - Norway
ministry of foreign affairs belgium,ministry of foreign affairs poland,78.3,90.3,ministry of foreign affairs poland,partial_ratio,Ministry of Foreign Affairs - Belgium,Ministry of Foreign Affairs - Poland
ministry of foreign affairs denmark,ministry of foreign affairs greece,78.3,90.6,ministry of foreign affairs denmark,partial_ratio,Ministry of Foreign Affairs - Denmark,Ministry of Foreign Affairs - Greece
ministry of foreign affairs denmark,ministry of foreign affairs latvia,78.3,90.3,ministry of foreign affairs denmark,partial_ratio,Ministry of Foreign Affairs - Denmark,Ministry of Foreign Affairs - Latvia
ministry of foreign affairs denmark,ministry of foreign affairs norway,78.3,90.3,ministry of foreign affairs norway,partial_ratio,Ministry of Foreign Affairs - Denmark,Ministry of Foreign Affairs - Norway
ministry of foreign affairs denmark,ministry of foreign affairs poland,78.3,92.1,ministry of foreign affairs denmark,partial_ratio,Ministry of Foreign Affairs - Denmark,Ministry of Foreign Affairs - Poland
ministry of foreign affairs estonia,ministry of foreign affairs greece,78.3,92.1,ministry of foreign affairs greece,partial_ratio,Ministry of Foreign Affairs - Estonia,Ministry of Foreign Affairs - Greece
ministry of foreign affairs estonia,ministry of foreign affairs latvia,78.3,90.3,ministry of foreign affairs estonia,partial_ratio,Ministry of Foreign Affairs - Estonia,Ministry of Foreign Affairs - Latvia
ministry of foreign affairs estonia,ministry of foreign affairs norway,78.3,90.3,ministry of foreign affairs norway,partial_ratio,Ministry of Foreign Affairs - Estonia,Ministry of Foreign Affairs - Norway
ministry of foreign affairs estonia,ministry of foreign affairs poland,78.3,90.3,ministry of foreign affairs estonia,partial_ratio,Ministry of Foreign Affairs - Estonia,Ministry of Foreign Affairs - Poland
