name_a,name_b,token_sort_score,partial_ratio_score,accept,canonical_name,review_note,raw_variants_a,raw_variants_b
bridge group,bridgeway group,88.9,75.0,no,bridge group,short_names_low_score,The Bridge Group,Bridgeway Group
presidency of the council of ministers,president of the council of ministers italy,88.9,96.0,no,presidency of the council of ministers,differentiating_word,Presidency of the Council of Ministers,President of the Council of Ministers - Italy
italian agency for development cooperation la paz office,italian agency for development cooperation mogadishu office,88.7,87.1,no,italian agency for development cooperation mogadishu office,coder_rejected,Italian Agency for Development Cooperation - La Paz Office,Italian Agency for Development Cooperation - Mogadishu Office
embassy of the republic of poland in ankara,embassy of the republic of poland in damascus,88.6,92.9,no,embassy of the republic of poland in damascus,country_name_swap,Embassy of the Republic of Poland in Ankara,Embassy of the Republic of Poland in Damascus
ministry of foreign affairs denmark,ministry of foreign affairs estonia,88.6,91.2,no,ministry of foreign affairs denmark,country_name_swap,Ministry of Foreign Affairs - Denmark,Ministry of Foreign Affairs - Estonia
ministry of foreign affairs poland,ministry of foreign affairs portugal,88.6,93.8,no,ministry of foreign affairs poland,country_name_swap,Ministry of Foreign Affairs - Poland,Ministry of Foreign Affairs - Portugal
christian blind mission ireland,christian blind mission italia,88.5,91.5,no,christian blind mission italia,country_name_swap,Christian Blind Mission Ireland,Christian Blind Mission Italia
ministry of foreign affairs,ministry of foreign affairs greece,88.5,100.0,no,ministry of foreign affairs greece,differentiating_word,Ministry of Foreign Affairs,Ministry of Foreign Affairs - Greece
ministry of foreign affairs,ministry of foreign affairs latvia,88.5,100.0,no,ministry of foreign affairs,coder_rejected,Ministry of Foreign Affairs,Ministry of Foreign Affairs - Latvia
ministry of foreign affairs,ministry of foreign affairs norway,88.5,100.0,no,ministry of foreign affairs norway,differentiating_word,Ministry of Foreign Affairs,Ministry of Foreign Affairs - Norway
ministry of foreign affairs,ministry of foreign affairs poland,88.5,100.0,no,ministry of foreign affairs poland,differentiating_word,Ministry of Foreign Affairs,Ministry of Foreign Affairs - Poland
ministry of health puntland,ministry of health uganda,88.5,89.4,no,ministry of health uganda,country_name_swap,Ministry of Health - Puntland,Ministry of Health - Uganda
prime minister s office,prime minister s office italy,88.5,100.0,no,prime minister s office italy,differentiating_word,Prime Minister's Office,Prime Minister's Office - Italy
royal norwegian embassy,royal norwegian embassy cairo,88.5,100.0,no,royal norwegian embassy,coder_rejected,Royal Norwegian Embassy,"Royal Norwegian Embassy, Cairo"
embassy of the republic of poland in ankara,embassy of the republic of poland in beirut,88.4,92.5,no,embassy of the republic of poland in beirut,country_name_swap,Embassy of the Republic of Poland in Ankara,Embassy of the Republic of Poland in Beirut
embassy of the republic of poland in ankara,embassy of the republic of poland in bogota,88.4,93.8,no,embassy of the republic of poland in bogota,country_name_swap,Embassy of the Republic of Poland in Ankara,Embassy of the Republic of Poland in Bogota
government of slovakia,government of somalia,88.4,86.5,no,government of somalia,country_name_swap,Government of Slovakia,Government of Somalia
ministry of agriculture and irrigation,ministry of agriculture livestock and irrigation,88.4,78.3,no,ministry of agriculture and irrigation,coder_rejected,Ministry of Agriculture and Irrigation,"Ministry of Agriculture, Livestock and Irrigation"
italian agency for development cooperation dakar office,italian agency for development cooperation havana office,88.3,92.7,no,italian agency for development cooperation dakar office,coder_rejected,Italian Agency for Development Cooperation - Dakar Office,Italian Agency for Development Cooperation - Havana Office
italian agency for development cooperation dakar office,italian agency for development cooperation la paz office,88.3,92.7,no,italian agency for development cooperation dakar office,coder_rejected,Italian Agency for Development Cooperation - Dakar Office,Italian Agency for Development Cooperation - La Paz Office
italian agency for development cooperation dakar office,italian agency for development cooperation yangon office,88.3,90.9,no,italian agency for development cooperation yangon office,coder_rejected,Italian Agency for Development Cooperation - Dakar Office,Italian Agency for Development Cooperation - Yangon Office
ministry of foreign affairs and emigrants,ministry of foreign affairs and expatriates,88.1,89.7,no,ministry of foreign affairs and emigrants,country_name_swap,Ministry of Foreign Affairs and Emigrants,Ministry of Foreign Affairs and Expatriates
royal norwegian embassy asmara,royal norwegian embassy cairo,88.1,92.6,no,royal norwegian embassy cairo,country_name_swap,"Royal Norwegian Embassy, Asmara","Royal Norwegian Embassy, Cairo"
royal norwegian embassy beirut,royal norwegian embassy cairo,88.1,91.2,no,royal norwegian embassy cairo,country_name_swap,"Royal Norwegian Embassy, Beirut","Royal Norwegian Embassy, Cairo"
community of madrid spain,community of murcia spain,88.0,88.0,no,community of madrid spain,coder_rejected,Community of Madrid - Spain,Community of Murcia - Spain
groupe d appui au developpement du sud,groupe d appui au developpement rural,88.0,93.0,no,groupe d appui au developpement du sud,differentiating_word,Groupe d'Appui au Développement du Sud,Groupe d'Appui au Développement Rural
united nations children s fund spain committee,united nations children s fund united states committee,88.0,85.4,no,united nations children s fund spain committee,differentiating_word,United Nations Children's Fund - Spain Committee,United Nations Children's Fund - United States Committee
universita degli studi di roma tre,universita degli studi di trento,87.9,93.3,no,universita degli studi di roma tre,coder_rejected,Università degli Studi di Roma Tre,Università degli Studi di Trento
croix rouge haitienne,croix rouge malienne,87.8,85.0,no,croix rouge malienne,country_name_swap,Croix-Rouge Haïtienne,Croix- Rouge Malienne
islamic relief sweden,islamic relief yemen,87.8,85.7,no,islamic relief sweden,country_name_swap,Islamic Relief Sweden,Islamic Relief Yemen
ministry of science and higher education,ministry of technical and higher education,87.8,85.0,no,ministry of technical and higher education,coder_rejected,Ministry of Science and Higher Education,Ministry of Technical and Higher Education
plan international,plan international mali,87.8,100.0,no,plan international,coder_rejected,Plan International,Plan International Mali
rapid response burundi,rapid response fund,87.8,88.9,no,rapid response fund,country_name_swap,Rapid Response Burundi,Rapid Response Fund
united nations children s fund australia committee,united nations children s fund belgium committee,87.8,85.4,no,united nations children s fund australia committee,differentiating_word,United Nations Children's Fund - Australia Committee,United Nations Children's Fund - Belgium Committee
care czech republic,caritas czech republic,87.8,88.9,no,caritas czech republic,coder_rejected,CARE Czech Republic,Caritas Czech Republic
hellenic air force general staff greece,hellenic army general staff greece,87.7,79.4,no,hellenic air force general staff greece,coder_rejected,Hellenic Air Force General Staff - Greece,Hellenic Army General Staff - Greece
ministry of finance and economic planning,ministry of planning and finance,87.7,74.5,no,ministry of finance and economic planning,coder_rejected,Ministry of Finance and Economic Planning,Ministry of Planning and Finance
fondazione cesar,fondazione cesvi,87.5,93.3,no,fondazione cesar,country_name_swap,Fondazione Cesar,Fondazione CESVI
italian agency for development cooperation havana office,italian agency for development cooperation la paz office,87.5,92.9,no,italian agency for development cooperation havana office,coder_rejected,Italian Agency for Development Cooperation - Havana Office,Italian Agency for Development Cooperation - La Paz Office
italian agency for development cooperation havana office,italian agency for development cooperation yangon office,87.5,92.9,no,italian agency for development cooperation yangon office,coder_rejected,Italian Agency for Development Cooperation - Havana Office,Italian Agency for Development Cooperation - Yangon Office
ministry of health italy,ministry of health libya,87.5,91.3,no,ministry of health italy,country_name_swap,Ministry of Health - Italy,Ministry of Health - Libya
universidad eafit,universidad ean,87.5,96.6,no,universidad eafit,country_name_swap,Universidad EAFIT,Universidad Ean
embassy of the republic of poland in cairo,embassy of the republic of poland in damascus,87.4,93.8,no,embassy of the republic of poland in damascus,country_name_swap,Embassy of the Republic of Poland in Cairo,Embassy of the Republic of Poland in Damascus
community of andalucia spain,community of canarias spain,87.3,85.2,no,community of andalucia spain,coder_rejected,Community of Andalucía - Spain,Community of Canarias - Spain
