name_a,name_b,token_sort_score,partial_ratio_score,accept,canonical_name,review_note,raw_variants_a,raw_variants_b
government of australian capital territory,government of austria,66.7,97.6,no,government of austria,differentiating_word,Government of Australian Capital Territory,Government of Austria
government of austria,government of mali,66.7,90.9,no,government of austria,country_name_swap,Government of Austria,Government of Mali
ministry of education,ministry of education and higher education,66.7,100.0,no,ministry of education,word_count_mismatch,Ministry of Education,Ministry of Education and Higher Education
ministry of foreign affairs and international cooperation,ministry of foreign affairs japan,66.7,95.2,no,ministry of foreign affairs japan,differentiating_word,Ministry of Foreign Affairs and International Cooperation,Ministry of Foreign Affairs - Japan
ministry of foreign affairs estonia,ministry of foreign affairs european union and cooperation spain,66.7,90.6,no,ministry of foreign affairs european union and cooperation spain,differentiating_word,Ministry of Foreign Affairs - Estonia,"Ministry of Foreign Affairs, European Union and Cooperation - Spain"
ministry of health and sports,ministry of health jordan,66.7,91.3,no,ministry of health and sports,coder_rejected,Ministry of Health and Sports,Ministry of Health - Jordan
save the children deutschland e v,save the children sweden,66.7,90.9,no,save the children sweden,differentiating_word,Save the Children Deutschland e.V.,Save the Children Sweden
save the children nederland,save the children sweden,66.7,91.3,no,save the children sweden,country_name_swap,Save the Children Nederland,Save the Children Sweden
terre des hommes international federation,terre des hommes italy,66.7,90.5,no,terre des hommes italy,differentiating_word,Terre des Hommes International Federation,Terre des Hommes Italy
university of pecs,university of western research,66.7,91.4,no,university of western research,coder_rejected,University of Pécs,University of Western Research
ministere de la sante publique et de la lutte contre le sida burundi,ministere de la sante publique et de la population,66.1,90.3,no,ministere de la sante publique et de la lutte contre le sida burundi,word_count_mismatch,Ministére de la Sante Publique et de la Lutte contre le Sida - Burundi,Ministère de la Santé Publique et de la Population
united nations development programme,united nations development programme south sudan common humanitarian fund,66.1,100.0,no,united nations development programme,differentiating_word,United Nations Development Programme,United Nations Development Programme South Sudan Common Humanitarian Fund
ministry of foreign affairs and international cooperation italy,ministry of foreign affairs latvia,66.0,92.1,no,ministry of foreign affairs and international cooperation italy,differentiating_word,Ministry of Foreign Affairs and International Cooperation - Italy,Ministry of Foreign Affairs - Latvia
ministry of foreign affairs and international trade,ministry of foreign affairs norway,65.9,92.1,no,ministry of foreign affairs norway,differentiating_word,Ministry of Foreign Affairs and International Trade,Ministry of Foreign Affairs - Norway
ministry of agriculture and agrarian reform syria,ministry of agriculture france,65.8,92.9,no,ministry of agriculture france,differentiating_word,Ministry of Agriculture and Agrarian Reform- Syria,Ministry of Agriculture - France
tishreen university,tishreen university hospital in latakia,65.5,100.0,no,tishreen university hospital in latakia,word_count_mismatch,Tishreen University,Tishreen University Hospital in Latakia
save the children federation,save the children sweden,65.4,91.3,no,save the children sweden,country_name_swap,Save the Children Federation,Save the Children Sweden
embassy of spain,embassy of spain to cote d ivoire,65.3,100.0,no,embassy of spain,word_count_mismatch,Embassy of Spain,Embassy of Spain to Cote d'Ivoire
ministry of foreign affairs and international cooperation italy,ministry of foreign affairs estonia,65.3,90.6,no,ministry of foreign affairs and international cooperation italy,differentiating_word,Ministry of Foreign Affairs and International Cooperation - Italy,Ministry of Foreign Affairs - Estonia
fundacion codespa,fundacion desarrollo y paz,65.1,90.3,no,fundacion codespa,coder_rejected,Fundación CODESPA,Fundación Desarrollo y Paz
government of chad,government of thailand,65.0,91.4,no,government of chad,country_name_swap,Government of Chad,Government of Thailand
united nations university,united nations university centre for policy research,64.9,100.0,no,united nations university,word_count_mismatch,United Nations University,United Nations University Centre for Policy Research
world health organization,world health organization regional office for africa,64.9,100.0,no,world health organization,word_count_mismatch,World Health Organization,World Health Organization Regional Office for Africa
ministere de la justice,ministere de la justice et des droits de l homme,64.8,100.0,no,ministere de la justice,word_count_mismatch,Ministère de la Justice,Ministère de la Justice et des Droits de l'Homme
ministry of agriculture,ministry of agriculture fisheries and food spain,64.8,100.0,no,ministry of agriculture,differentiating_word,Ministry of Agriculture,"Ministry of Agriculture, Fisheries, and Food - Spain"
ministry of agriculture,ministry of agriculture livestock and irrigation,64.8,100.0,no,ministry of agriculture livestock and irrigation,word_count_mismatch,Ministry of Agriculture,"Ministry of Agriculture, Livestock and Irrigation"
royal norwegian embassy cairo,royal norwegian embassy in lisbon portugal,64.8,92.6,no,royal norwegian embassy cairo,differentiating_word,"Royal Norwegian Embassy, Cairo","Royal Norwegian Embassy in Lisbon, Portugal"
ministere des affaires etrangeres,ministere des affaires etrangeres et de la cooperation internationale,64.7,100.0,no,ministere des affaires etrangeres et de la cooperation internationale,word_count_mismatch,Ministère des Affaires Étrangères,Ministère des Affaires étrangères et de la Coopération Internationale
ministry of health and care services norway,ministry of health angola,64.7,91.3,no,ministry of health and care services norway,differentiating_word,Ministry of Health and Care Services - Norway,Ministry of Health - Angola
ministere de l amenagement du territoire et de la population,ministere de l’urbanisme de l’habitat des domaines de l’amenagement du territoire et de la population,64.6,92.3,no,ministere de l’urbanisme de l’habitat des domaines de l’amenagement du territoire et de la population,word_count_mismatch,Ministère de l'Aménagement du Territoire et de la Population,"Ministère de l’Urbanisme, de l’Habitat, des Domaines, de l’Aménagement du Territoire et de la Population"
ministerio da justica,ministerio da justica e dos direitos humanos,64.6,100.0,no,ministerio da justica,word_count_mismatch,Ministério da Justiça,Ministério da Justiça e dos Direitos Humanos
ministry of education,ministry of education science and technology,64.6,100.0,no,ministry of education,word_count_mismatch,Ministry of Education,"Ministry of Education, Science and Technology"
ministry of foreign affairs denmark,ministry of foreign affairs european union and cooperation spain,64.6,90.9,no,ministry of foreign affairs denmark,differentiating_word,Ministry of Foreign Affairs - Denmark,"Ministry of Foreign Affairs, European Union and Cooperation - Spain"
ministry of interior and municipalities,ministry of interior spain,64.6,93.9,no,ministry of interior spain,differentiating_word,Ministry of Interior and Municipalities,Ministry of Interior - Spain
ministry of industry,ministry of industry commerce and supplies,64.5,100.0,no,ministry of industry,word_count_mismatch,Ministry of Industry,"Ministry of Industry, Commerce and Supplies"
ministry of foreign affairs,ministry of foreign affairs and international cooperation,64.3,100.0,no,ministry of foreign affairs,word_count_mismatch,Ministry of Foreign Affairs,Ministry of Foreign Affairs and International Cooperation
