raw_name,cleaned_name
Asociación de Mujeres Indígenas Chagra de la Vida,asociacion de mujeres indigenas chagra de la vida
Asociación Para el Desarrollo y la Acción Social Solidaria,asociacion para el desarrollo y la accion social solidaria
Asociación Solidaridad con Guinea Bissau,asociacion solidaridad con guinea bissau
Assembleia Nacional Popular,assembleia nacional popular
Association Communale des Femmes Productrices d'Oigon/Echalote Jaba Sene Ton de Sebougou,association communale des femmes productrices d oigon echalote jaba sene ton de sebougou
Association des Producteurs de Riz de Buramata VI,association des producteurs de riz de buramata vi
Association Planteurs Jonc-Tiby,association planteurs jonc tiby
Association pour le Soutien du Développement des Activités de Population,association pour le soutien du developpement des activites de population
ASSOPRO Maramvya,assopro maramvya
Atelier,atelier
Attanweer Social Development Foundation,attanweer social development foundation
Australian Broadcasting Corporation,australian broadcasting
Australian National University,australian national university
Bangladesh University of Engineering and Technology,bangladesh university of engineering and technology
Barnaheill,barnaheill
Basement Cultural Foundation,basement cultural foundation
Bosque y Comunidad,bosque y comunidad
Bureau International Catholique de l Enfance,bureau international catholique de l enfance
Business Council for International Understanding,business council for international understanding
Campaña Colombiana Contra Minas,campana colombiana contra minas
Canadian Network for International Surgery,canadian network for international surgery
Canadian Organization for Development Through Education,canadian organization for development through education
Capital Secretariat- Sanaa Chamber,capital secretariat sanaa chamber
Caribe Afirmativo,caribe afirmativo
Cáritas Española,caritas espanola
Carnegie Mellon University in Qatar,carnegie mellon university in qatar
CDP,cdp
Cégep de Saint-Jéróme,cegep de saint jerome
CELLULE E,cellule e
Center for Kultur og Udvikling,center for kultur og udvikling
Centrale des syndicats du Québec,centrale des syndicats du quebec
Centre for Constitutionalism and Demilitarization,centre for constitutionalism and demilitarization
Centre Missionaire Oblat,centre missionaire oblat
Centro Latinoamericano para el Desarrollo Rural,centro latinoamericano para el desarrollo rural
Charles Darwin University,charles darwin university
CHS Alliance,chs alliance
CIFOR-ICRAF,cifor icraf
Cirps Centro Interuniversitario di Ricerca per lo Sviluppo Sostenibile,cirps centro interuniversitario di ricerca per lo sviluppo sostenibile
CISV Norge,cisv norge
Citigroup,citigroup
Colegio Oficial de Enfermeras y Enfermeros de Cantabria,colegio oficial de enfermeras y enfermeros de cantabria
Colorado State University,colorado state university
Consiglio Italiano Rifugiati,consiglio italiano rifugiati
Consortium WUSC-CECI,consortium wusc ceci
Corporación Buen Ambiente,corporacion buen ambiente
Crudo Transparente,crudo transparente
Czech Red Cross,czech red cross
Dam Implementation Unit,dam implementation unit
Deaconess Foundation,deaconess foundation
Democratic Voice of Burma,democratic voice of burma
Democratic Youth Foundation,democratic youth foundation
Department of Employment and Workplace Relations - Australia,department of employment and workplace relations australia
Department of Justice of the State of Victoria - Australia,department of justice of the state of victoria australia
Department of Planning and Community Development - Australia,department of planning and community development australia
Department of Sustainability and Environment - Australia,department of sustainability and environment australia
Development Bank of Latin America,development bank of latin america
Development of Coffee Growers Cooperative,development of coffee growers cooperative
DHL International GmbH,dhl international
Digital Opportunity Trust,digital opportunity trust
Direct Excution,direct excution
DKT International,dkt international
Dorel Industries,dorel industries
Dutch Cycling Embassy,dutch cycling embassy
Earth Innovation Institute,earth innovation institute
École de Maintien de la Paix Alioune Blondin Beye de Bamako,ecole de maintien de la paix alioune blondin beye de bamako
Ecorys,ecorys
Education for All-Fast Track Initiative,education for all fast track initiative
EDUS Educazione e Sviluppo,edus educazione e sviluppo
Effect Hope,effect hope
Electricity of Lebanon,electricity of lebanon
Embassy of Italy in Khartoum,embassy of italy in khartoum
Emprender Paz,emprender paz
Enel Group,enel group
Entraide Universitaire Mondiale du Canada,entraide universitaire mondiale du canada
Escuela Nacional Sindical,escuela nacional sindical
Espacio Público,espacio publico
European Trust Fund for Colombia,european trust fund for colombia
Evensen Dodge International,evensen dodge international
Fauna & Flora International,fauna flora international
Federal Ministry of Education and Women's Affairs - Austria,federal ministry of education and women s affairs austria
Fondasyon Kole Zepol,fondasyon kole zepol
Fondation Femmes en Démocratie – Voix Essentielles,fondation femmes en democratie – voix essentielles
Food for the Hungry Canada,food for the hungry canada
Forest Trends,forest trends
Fraternity Association,fraternity association
Fundación EcoCiencia,fundacion ecociencia
Fundación Escuela Nueva Volvamos a la Gente,fundacion escuela nueva volvamos a la gente
Fundación para el Etnodesarrollo de los Llanos Orientales de Colombia,fundacion para el etnodesarrollo de los llanos orientales de colombia
Fundación para la Libertad de Prensa,fundacion para la libertad de prensa
Fundación Paz y Reconciliacion,fundacion paz y reconciliacion
Fundación ProAves,fundacion proaves
Fundación Universidad de San Andrés,fundacion universidad de san andres
Geneva Global Hub For Education in Emergencies,geneva global hub for education in emergencies
Geneva Graduate Institute,geneva graduate institute
Geneva International Centre for Humanitarian Demining,geneva international centre for humanitarian demining
Global Campaign for Education,global campaign for education
Global Reporting Initiative,global reporting initiative
Government of the Netherlands,government of the netherlands
Groupe de Réflexion et d'Action pour une Haiti Nouvelle,groupe de reflexion et d action pour une haiti nouvelle
Groupe Odyssee,groupe odyssee
Grow Asia,grow asia
Grupo de Teatro Esquina Latina,grupo de teatro esquina latina
Habitat for Humanity International,habitat for humanity international
Hala Systems,hala systems
Høgskolen i Hedmark,høgskolen i hedmark
HOPE International Development Agency,hope international development agency
Horn of Africa Voluntary Youth Committee,horn of africa voluntary youth committee
Human-Etisk Forbund,human etisk forbund
Humanism and Democracy Foundation,humanism and democracy foundation
IDF Widows and Orphans Association,idf widows and orphans association
IISTEE,iistee
Indonesia for Global Justice,indonesia for global justice
Industrial Enterprise Development Institute,industrial enterprise development institute
Institut pour l'Education Populaire,institut pour l education populaire
Institute for Human Rights and Business,institute for human rights and business
Institute for Integrated Transitions,institute for integrated transitions
