tag,seed,dep_var,window,estimate,std_error,p_value,n,n_states,lb,ub
31,154,density,all,-0.016416591480174273,0.009435466325187668,0.09894969299320272,304,19,-0.0349101054775421,0.0020769225171935572
32,155,density,+-2,-6.851062268843709e-4,0.004102532235240898,0.8692349629044881,95,19,-0.00872606940795653,0.007355856954187788
32,155,density,+-3,-0.0027753150519414724,0.004638516981510541,0.5570813440645956,133,19,-0.011866808335702132,0.0063161782318191875
32,155,density,+-4,-0.004403893806156497,0.0057412413064200085,0.45298846781081936,171,19,-0.015656726766739713,0.006848939154426719
32,155,density,+-5,-0.005785293764937264,0.006225826525898568,0.3650591219240428,209,19,-0.017987913755698456,0.006417326225823929
32,155,density,all,-0.016190796249548545,0.00967129054678932,0.11139654204297128,304,19,-0.03514652572125561,0.0027649332221585214
33,156,density,+-2,4.323025774834099e-4,0.0038956907675428394,0.9128685802961376,95,19,-0.007203251326900555,0.008067856481867374
33,156,density,+-3,-0.0015734313838255288,0.00481840826622661,0.7477777168056425,133,19,-0.011017511585629684,0.007870648817978627
33,156,density,+-4,-0.003466797120014778,0.005879223243978747,0.5627417598610187,171,19,-0.014990074678213122,0.008056480438183565
33,156,density,+-5,-0.00419815197221784,0.006579563783105835,0.5314693831468607,209,19,-0.017094096987105276,0.008697793042669596
33,156,density,all,-0.01418112684599943,0.009626201819485636,0.15797481532519875,304,19,-0.03304848241219128,0.004686228720192415
34,157,density,+-2,-0.0012571337381492864,0.004393173518558685,0.7780258502033177,95,19,-0.009867753834524309,0.007353486358225736
34,157,density,+-3,-0.002282231188445392,0.005145027925582541,0.6626321693604307,133,19,-0.012366485922587173,0.007802023545696389
34,157,density,+-4,-0.0032202990839302636,0.00579318093819295,0.5851386721009516,171,19,-0.014574933722788444,0.008134335554927917
34,157,density,+-5,-0.00507599371768366,0.006034011708341675,0.411255719021148,209,19,-0.01690265666603334,0.0067506692306660235
34,157,density,all,-0.018104472132520238,0.011401816562089977,0.12972869237514753,304,19,-0.04045203259421659,0.004243088329176116
35,158,density,+-2,-0.0016225272385468612,0.0038926767397499044,0.6817420742736174,95,19,-0.009252173648456673,0.006007119171362951
35,158,density,+-3,-0.0027281986317999047,0.005129077667700665,0.6012936163359803,133,19,-0.012781190860493208,0.007324793596893397
35,158,density,+-4,-0.004748422146254139,0.006090356975296139,0.4457207422301749,171,19,-0.016685521817834573,0.007188677525326292
35,158,density,+-5,-0.005793075357734131,0.006761473305368739,0.4028310052882358,209,19,-0.01904556303625686,0.0074594123207885965
35,158,density,all,-0.015527297085424604,0.009881960132754785,0.13353032015526453,304,19,-0.03489593894562398,0.0038413447747747756
36,159,density,+-2,-3.427572410812489e-4,0.004185946881038458,0.9356435265230729,95,19,-0.008547213127916627,0.007861698645754128
36,159,density,+-3,-0.0019195151004673977,0.004683765651494412,0.6867719350652515,133,19,-0.011099695777396446,0.00726066557646165
36,159,density,+-4,-0.0038276759830181096,0.005781720593630331,0.5163385988401497,171,19,-0.015159848346533559,0.007504496380497339
36,159,density,+-5,-0.005559197462188801,0.006263532458618982,0.38648899839536965,209,19,-0.017835721081082005,0.006717326156704402
36,159,density,all,-0.015507518991568563,0.009386403538530912,0.11584557645527589,304,19,-0.03390486992708915,0.002889831943952025
37,160,density,+-2,-0.0012558875597059487,0.00401202204353403,0.7578550212362496,95,19,-0.009119450765032648,0.00660767564562075
37,160,density,+-3,-0.0023153239931663415,0.005213407956806394,0.6622564056717901,133,19,-0.012533603588506874,0.00790295560217419
37,160,density,+-4,-0.0033808606854913055,0.006174124646008423,0.5907026410934837,171,19,-0.015482144991667815,0.008720423620685204
37,160,density,+-5,-0.004714920270796917,0.00681880269968047,0.49809948420671524,209,19,-0.018079773562170637,0.008649933020576804
37,160,density,all,-0.0145309800665235,0.009897826799872136,0.15933561274738847,304,19,-0.033930720594272885,0.004868760461225885
38,161,density,+-2,2.7987667720695114e-4,0.003959047924773913,0.9444216595386029,95,19,-0.007479857255349919,0.00803961060976382
38,161,density,+-3,-0.0014174971593117229,0.005183156825017445,0.787596462123005,133,19,-0.011576484536345917,0.00874149021772247
38,161,density,+-4,-0.0033047726938614137,0.006155279652687091,0.5979109244578571,171,19,-0.015369120813128112,0.008759575425405284
38,161,density,+-5,-0.0033682130467087186,0.006792734927426679,0.6259964508332275,209,19,-0.016681973504465007,0.009945547411047572
38,161,density,all,-0.016087353865717646,0.011889836451738595,0.19279580837809102,304,19,-0.039391433311125296,0.007216725579690001
39,162,density,+-2,-1.8604503631173064e-4,0.0041922365924570975,0.9650913430100951,95,19,-0.008402828757527642,0.008030738684904181
39,162,density,+-3,-0.002089267286514609,0.005012477499266941,0.6817435138051038,133,19,-0.011913723185077814,0.007735188612048595
39,162,density,+-4,-0.00426409972588274,0.005709522134376114,0.4648044043171653,171,19,-0.015454763109259924,0.0069265636574944445
39,162,density,+-5,-0.004155700780901686,0.006446108683368637,0.5272638051317138,209,19,-0.016790073800304214,0.00847867223850084
39,162,density,all,-0.014669848753902351,0.009953744051106394,0.15780886122599477,304,19,-0.03417918709407088,0.004839489586266182
40,163,density,+-2,-8.362336199175967e-4,0.0039122726307920346,0.8331474130886588,95,19,-0.008504287976269984,0.0068318207364347905
40,163,density,+-3,-0.002467987186941578,0.00482811845608309,0.6154452635959904,133,19,-0.011931099360864434,0.006995124986981278
40,163,density,+-4,-0.00395670245628591,0.0055761312063946945,0.487056482089011,171,19,-0.014885919620819511,0.006972514708247691
40,163,density,+-5,-0.005408179994328255,0.006125968238262913,0.3889673842723097,209,19,-0.017415077741323563,0.006598717752667053
40,163,density,all,-0.015532121297306564,0.009503785465440869,0.1195616906858136,304,19,-0.03415954080957066,0.0030952982149575377
41,164,density,+-2,-9.549802155826478e-4,0.0035996459081655287,0.7937940842069096,95,19,-0.008010286195587085,0.006100325764421789
41,164,density,+-3,-0.0020567909091381417,0.004614961964776429,0.6611433695574522,133,19,-0.011102116360099942,0.006988534541823659
41,164,density,+-4,-0.004095688705311602,0.0057161248248829444,0.4828673244396041,171,19,-0.015299293362082172,0.007107915951458969
41,164,density,+-5,-0.0050197607788274624,0.006207411848087652,0.42926331990814637,209,19,-0.01718628800107926,0.007146766443424334
41,164,density,all,-0.015563355625835143,0.009773851843460336,0.12871562811183618,304,19,-0.034720105239017404,0.003593393987347116
42,165,density,+-2,-2.9828456905867036e-4,0.004214564544396349,0.9443574763473173,95,19,-0.008558831076075515,0.007962261937958173
42,165,density,+-3,-0.0019031756516190294,0.005341750982315012,0.7257704731893232,133,19,-0.012373007576956451,0.008566656273718392
42,165,density,+-4,-0.0028180243113953857,0.005931894902033871,0.6404553946612415,171,19,-0.014444538319381773,0.008808489696591001
42,165,density,+-5,-0.0043599141736368925,0.006612330635888922,0.5180114869338825,209,19,-0.01732008221997918,0.008600253872705394
42,165,density,all,-0.017027536849434092,0.01165488750141445,0.16125829126666266,304,19,-0.039871116352206415,0.005816042653338231
